,node,job,start_time,end_time,complete_time
2,worker-2,job7-torch-lenet,32,599.3090810780001,567.3090810780001
3,worker-1,job12-torch-lenet,60,1310.22214508,1250.22214508
9,master,job6-tf-cnn,72,372.503794909,300.503794909
12,worker-3,job10-torch-lenet,86,458.632695913,372.632695913
1,worker-2,job4-torch-vae,89,498.839727879,409.839727879
7,master,job11-tf-drnn,107,915.075042963,808.075042963
5,worker-1,job3-torch-vae,134,976.6113440989999,842.6113440989999
10,master,job8-tf-birnn,143,1205.931705,1062.931705
13,worker-3,job2-tf-drnn,144,648.24373889,504.24373889
11,worker-3,job1-tf-drnn,161,676.991718054,515.991718054
0,worker-2,job13-tf-cnn,194,428.68339800800004,234.68339800799998
6,worker-1,job5-torch-vae,200,1149.6149621,949.6149621010001
8,master,job15-torch-vae,265,868.944318056,603.9443180559999
4,worker-1,job14-torch-vae,292,1249.39451003,957.3945100310001
14,worker-3,job9-tf-birnn,296,1035.68338799,739.683387995
