node,job,start_time,init_time
worker-4,job22-torch-lenet,463,1564976744.8
worker-1,job21-tf-cnn,287,1564976744.8
worker-3,job23-torch-lenet,427,1564976744.8
worker-4,job2-torch-vae,86,1564976744.8
worker-2,job9-torch-vae,396,1564976744.8
worker-2,job20-tf-cnn,148,1564976744.8
worker-3,job24-tf-cnn,542,1564976744.8
worker-3,job26-torch-vae,263,1564976744.8
worker-1,job13-tf-drnn,154,1564976744.8
worker-4,job16-tf-drnn,341,1564976744.8
worker-3,job7-torch-vae,141,1564976744.8
worker-1,job5-torch-vae,331,1564976744.8
worker-1,job10-torch-vae,95,1564976744.8
worker-3,job25-tf-drnn,391,1564976744.8
worker-4,job8-torch-lenet,397,1564976744.8
worker-1,job1-tf-drnn,497,1564976744.8
worker-2,job12-tf-cnn,455,1564976744.8
worker-2,job15-torch-vae,229,1564976744.8
worker-1,job18-torch-vae,581,1564976744.8
worker-2,job29-tf-drnn,26,1564976744.8
worker-4,job3-torch-vae,156,1564976744.8
worker-3,job27-torch-lenet,434,1564976744.8
worker-3,job19-torch-lenet,55,1564976744.8
worker-2,job30-torch-vae,468,1564976744.8
worker-2,job11-tf-drnn,523,1564976744.8
worker-4,job28-tf-drnn,486,1564976744.8
worker-4,job4-tf-cnn,41,1564976744.8
worker-2,job6-tf-drnn,191,1564976744.8
worker-4,job17-tf-cnn,2,1564976744.8
worker-1,job14-torch-lenet,433,1564976744.8
