node,job,start_time,end_time,complete_time
worker-2,job11-tf-drnn,107,568.577489138,461.577489138
worker-2,job12-torch-lenet,60,446.332632065,386.332632065
worker-2,job6-tf-cnn,72,402.225629091,330.225629091
worker-2,job7-torch-lenet,32,402.422010183,370.422010183
worker-1,job10-torch-lenet,86,1495.12220502,1409.12220502
worker-1,job14-torch-vae,292,1256.48309112,964.483091116
worker-1,job15-torch-vae,265,1203.21148205,938.211482048
worker-1,job4-torch-vae,89,683.783988953,594.783988953
worker-1,job9-tf-birnn,296,1567.697191,1271.697191
master,job1-tf-drnn,161,1034.93462896,873.934628963
master,job2-tf-drnn,144,1034.93472695,890.934726954
master,job3-torch-vae,134,675.268321991,541.268321991
master,job8-tf-birnn,143,1255.21307015,1112.21307015
worker-3,job13-tf-cnn,194,402.225563049,208.225563049
worker-3,job5-torch-vae,200,612.640921116,412.640921116
