,node,job,start_time,end_time,completed_time
28,worker-4,job17-tf-cnn,2,33.91000008583069,31.91000008583069
19,worker-2,job29-tf-drnn,26,466.1400001049042,440.1400001049042
26,worker-4,job4-tf-cnn,41,74.80999994277954,33.80999994277954
22,worker-3,job19-torch-lenet,55,269.1800000667572,214.1800000667572
3,worker-4,job2-torch-vae,86,1537.210000038147,1451.210000038147
12,worker-1,job10-torch-vae,95,1455.6800000667572,1360.6800000667572
10,worker-3,job7-torch-vae,141,1571.0499999523163,1430.0499999523163
5,worker-2,job20-tf-cnn,148,187.52999997138977,39.52999997138977
8,worker-1,job13-tf-drnn,154,620.1400001049042,466.1400001049042
20,worker-4,job3-torch-vae,156,1659.2599999904633,1503.2599999904633
27,worker-2,job6-tf-drnn,191,667.789999961853,476.789999961853
17,worker-2,job15-torch-vae,229,1484.5499999523163,1255.5499999523163
7,worker-3,job26-torch-vae,263,1658.6600000858307,1395.6600000858307
1,worker-1,job21-tf-cnn,287,335.49000000953674,48.49000000953674
11,worker-1,job5-torch-vae,331,1739.4100000858307,1408.4100000858307
9,worker-4,job16-tf-drnn,341,867.5299999713898,526.5299999713898
13,worker-3,job25-tf-drnn,391,897.5699999332428,506.5699999332428
4,worker-2,job9-torch-vae,396,1590.0599999427795,1194.0599999427795
14,worker-4,job8-torch-lenet,397,1587.5199999809265,1190.5199999809265
2,worker-3,job23-torch-lenet,427,1528.7200000286102,1101.7200000286102
29,worker-1,job14-torch-lenet,433,1505.9700000286102,1072.9700000286102
21,worker-3,job27-torch-lenet,434,1535.2000000476837,1101.2000000476837
16,worker-2,job12-tf-cnn,455,515.4800000190735,60.480000019073486
0,worker-4,job22-torch-lenet,463,1607.1900000572205,1144.1900000572205
23,worker-2,job30-torch-vae,468,1607.4700000286102,1139.4700000286102
25,worker-4,job28-tf-drnn,486,1027.340000152588,541.3400001525879
15,worker-1,job1-tf-drnn,497,1014.3099999427795,517.3099999427795
24,worker-2,job11-tf-drnn,523,1025.6900000572205,502.69000005722046
6,worker-3,job24-tf-cnn,542,616.670000076294,74.67000007629395
18,worker-1,job18-torch-vae,581,1793.3199999332428,1212.3199999332428
