,node,job,start_time,end_time,complete_time
3,worker-1,job7-torch-lenet,32,400.75874114,368.75874114
0,worker-2,job12-torch-lenet,60,400.758651018,340.75865101799997
10,master,job6-tf-cnn,72,400.758730173,328.758730173
12,worker-3,job10-torch-lenet,86,792.5540061,706.5540061
9,master,job4-torch-vae,89,862.4345531460001,773.4345531460001
13,worker-3,job11-tf-drnn,107,819.058108091,712.058108091
8,master,job3-torch-vae,134,960.550070047,826.550070047
4,worker-1,job8-tf-birnn,143,1089.56233811,946.5623381139999
7,master,job2-tf-drnn,144,1134.43882298,990.438822985
11,worker-3,job1-tf-drnn,161,889.259562969,728.259562969
6,master,job13-tf-cnn,194,518.341489077,324.341489077
2,worker-1,job5-torch-vae,200,645.669213057,445.669213057
14,worker-3,job15-torch-vae,265,778.495158195,513.495158195
1,worker-2,job14-torch-vae,292,735.2099711889999,443.20997118900004
5,worker-1,job9-tf-birnn,296,1223.96482205,927.9648220539999
