node,job,start_time,end_time,complete_time
worker-2,job13-tf-cnn,194,428.683398008,234.683398008
worker-2,job4-torch-vae,89,498.839727879,409.839727879
worker-2,job7-torch-lenet,32,599.309081078,567.309081078
worker-1,job12-torch-lenet,60,1310.22214508,1250.22214508
worker-1,job14-torch-vae,292,1249.39451003,957.394510031
worker-1,job3-torch-vae,134,976.611344099,842.611344099
worker-1,job5-torch-vae,200,1149.6149621,949.614962101
master,job11-tf-drnn,107,915.075042963,808.075042963
master,job15-torch-vae,265,868.944318056,603.944318056
master,job6-tf-cnn,72,372.503794909,300.503794909
master,job8-tf-birnn,143,1205.931705,1062.931705
worker-3,job1-tf-drnn,161,676.991718054,515.991718054
worker-3,job10-torch-lenet,86,458.632695913,372.632695913
worker-3,job2-tf-drnn,144,648.24373889,504.24373889
worker-3,job9-tf-birnn,296,1035.68338799,739.683387995
