job,end_time
job17-tf-cnn,1565016769.46
job4-tf-cnn,1565016809.49
job20-tf-cnn,1565016934.6
job19-torch-lenet,1565016968.51
job21-tf-cnn,1565017071.31
job29-tf-drnn,1565017223.97
job12-tf-cnn,1565017256.18
job13-tf-drnn,1565017338.82
job24-tf-cnn,1565017360.58
job6-tf-drnn,1565017406.13
job16-tf-drnn,1565017564.11
job25-tf-drnn,1565017641.07
job8-torch-lenet,1565017683.38
job7-torch-vae,1565017749.11
job1-tf-drnn,1565017762.17
job28-tf-drnn,1565017763.35
job11-tf-drnn,1565017790.99
job23-torch-lenet,1565017868.18
job5-torch-vae,1565017893.23
job22-torch-lenet,1565017895.45
job14-torch-lenet,1565018230.22
job27-torch-lenet,1565018230.36
job15-torch-vae,1565018344.27
job30-torch-vae,1565018479.75
job2-torch-vae,1565020652.39
job10-torch-vae,1565020707.1
job3-torch-vae,1565020806.43
job26-torch-vae,1565020851.37
job9-torch-vae,1565020874.0
job18-torch-vae,1565020890.32
