node,job,start_time,end_time,complete_time
worker-2,job1-tf-drnn,161,722.711837053,561.711837053
worker-2,job11-tf-drnn,107,628.917525053,521.917525053
worker-2,job8-tf-birnn,143,904.098145008,761.098145008
worker-2,job9-tf-birnn,296,1096.6789391,800.678939104
worker-1,job15-torch-vae,265,1172.73944211,907.73944211
worker-1,job3-torch-vae,134,1090.52621889,956.526218891
worker-1,job4-torch-vae,89,958.828356028,869.828356028
master,job10-torch-lenet,86,888.545110941,802.545110941
master,job12-torch-lenet,60,863.032849073,803.032849073
master,job2-tf-drnn,144,717.918890953,573.918890953
master,job7-torch-lenet,32,804.881444931,772.881444931
worker-3,job13-tf-cnn,194,373.852061987,179.852061987
worker-3,job14-torch-vae,292,976.789613008,684.789613008
worker-3,job5-torch-vae,200,869.143018007,669.143018007
worker-3,job6-tf-cnn,72,373.85214591,301.85214591
