,node,job,start_time,end_time,complete_time
13,worker-3,job7-torch-lenet,32,1065.57580018,1033.57580018
0,worker-2,job12-torch-lenet,60,391.017528057,331.017528057
7,master,job6-tf-cnn,72,391.01760315900003,319.01760315900003
2,worker-1,job10-torch-lenet,86,612.4845790859999,526.4845790859999
6,master,job4-torch-vae,89,575.567191124,486.56719112400003
4,master,job11-tf-drnn,107,887.68079114,780.68079114
12,worker-3,job3-torch-vae,134,818.127173185,684.127173185
8,master,job8-tf-birnn,143,1131.32747912,988.327479124
5,master,job2-tf-drnn,144,917.3448159689999,773.3448159689999
9,worker-3,job1-tf-drnn,161,1139.02938509,978.02938509
10,worker-3,job13-tf-cnn,194,447.626707077,253.62670707700002
3,worker-1,job5-torch-vae,200,611.36088109,411.36088109
11,worker-3,job15-torch-vae,265,1021.67292619,756.672926188
1,worker-2,job14-torch-vae,292,717.719617128,425.71961712800004
14,worker-3,job9-tf-birnn,296,1415.81992412,1119.81992412
